LoanID,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
141,3000,3000,9.76%,36 months,debt_consolidation,21.82%,VA,OWN,1100,720-724,4,2413,0,n/a
142,18000,18000,23.28%,60 months,debt_consolidation,9.05%,WI,RENT,7083.33,660-664,6,13106,0,10+ years
143,10000,9700,9.63%,36 months,debt_consolidation,13.77%,OK,MORTGAGE,4190,735-739,6,1251,1,< 1 year
144,8800,8800,13.11%,36 months,credit_card,16.73%,WI,RENT,3150.25,700-704,13,14266,1,4 years
145,7000,7000,11.14%,36 months,debt_consolidation,23.02%,TX,MORTGAGE,6000,705-709,17,19634,2,6 years
146,8000,8000,13.11%,36 months,debt_consolidation,19.01%,AK,RENT,2625,725-729,8,7554,1,5 years
147,3000,3000,17.27%,36 months,credit_card,16.62%,SC,RENT,3833.33,660-664,4,4136,0,n/a
148,12000,11975,7.51%,36 months,debt_consolidation,11.91%,MD,RENT,7500,735-739,18,33702,1,10+ years
149,3600,3575,14.11%,36 months,small_business,0.04%,WI,RENT,2500,725-729,4,1,0,3 years
150,11625,11625,14.33%,36 months,debt_consolidation,22.84%,NY,MORTGAGE,2833.33,705-709,6,27411,2,8 years
151,30000,30000,21.49%,36 months,credit_card,16.70%,MD,MORTGAGE,12500,670-674,14,19096,2,9 years
152,16000,16000,8.90%,36 months,debt_consolidation,19.71%,CO,RENT,7083.33,720-724,11,6185,1,4 years
153,10800,10700,10.75%,36 months,major_purchase,15.32%,FL,MORTGAGE,8400,715-719,6,24675,0,10+ years
154,25000,23655.48,16.69%,60 months,debt_consolidation,14.11%,CO,MORTGAGE,7666.67,705-709,15,28748,3,8 years
155,10000,10000,13.98%,60 months,other,14.86%,MO,RENT,3916.67,710-714,9,5188,4,4 years
156,12375,275,10.91%,36 months,small_business,16.39%,VA,MORTGAGE,3892.75,690-694,11,8332,2,3 years
157,6000,6000,11.48%,36 months,credit_card,18.20%,NY,MORTGAGE,5031.67,705-709,9,50935,0,10+ years
158,8000,8000,13.49%,36 months,debt_consolidation,14.92%,CO,RENT,5000,685-689,18,4786,1,2 years
159,15000,15000,18.25%,36 months,credit_card,9.73%,GA,MORTGAGE,5000,660-664,11,14596,0,8 years
160,7000,7000,17.77%,36 months,other,32.25%,NY,RENT,3333.33,665-669,12,35604,3,7 years
161,8400,8400,6.92%,36 months,renewable_energy,13.30%,MD,RENT,3000,745-749,9,6998,1,1 year
162,15000,15000,7.90%,36 months,debt_consolidation,18.62%,PA,MORTGAGE,4500,740-744,10,17212,0,7 years
163,15000,14925,14.33%,36 months,debt_consolidation,13.30%,TX,RENT,5000,665-669,7,11368,1,< 1 year
164,2800,2800,10.16%,36 months,major_purchase,12%,NY,RENT,2083.33,695-699,7,7261,0,< 1 year
165,7750,7750,16.29%,36 months,debt_consolidation,26.74%,FL,MORTGAGE,2916.67,680-684,18,17102,0,5 years
166,4500,4500,8.90%,36 months,credit_card,18.18%,UT,RENT,2166.67,700-704,8,5361,0,4 years
167,17500,17375,12.53%,36 months,debt_consolidation,21.63%,CO,RENT,3666.67,715-719,7,20010,0,6 years
168,18000,18000,15.31%,60 months,debt_consolidation,4.93%,CA,RENT,5258.5,710-714,6,11596,0,10+ years
169,15000,14975,15.27%,60 months,debt_consolidation,17.90%,PA,MORTGAGE,2748,720-724,14,7956,1,6 years
170,6000,6000,15.23%,36 months,credit_card,19.57%,KS,OWN,4583.33,665-669,13,8077,1,1 year
171,11500,11475,11.14%,36 months,credit_card,28.25%,CA,RENT,2750,700-704,6,9079,0,5 years
172,10000,10000,13.11%,36 months,credit_card,7.56%,PA,RENT,2500,685-689,8,10906,0,7 years
173,12000,12000,8.90%,36 months,credit_card,12.46%,MD,RENT,5000,725-729,5,13940,0,10+ years
174,10000,10000,12.12%,36 months,debt_consolidation,18.40%,CA,MORTGAGE,5000,685-689,7,13202,0,10+ years
175,35000,34975,21.28%,60 months,debt_consolidation,18.21%,AL,RENT,7916.67,680-684,8,19789,2,10+ years
176,7200,7100,10.38%,60 months,major_purchase,17.97%,PA,RENT,3000,750-754,7,2753,1,2 years
177,4000,3975,7.90%,60 months,car,4.48%,TX,OWN,4000,800-804,16,6696,0,< 1 year
178,5300,5200,11.14%,36 months,debt_consolidation,8.47%,UT,MORTGAGE,8333.33,740-744,5,73258,1,3 years
179,1200,1200,7.62%,36 months,other,8.69%,NY,MORTGAGE,3833.33,730-734,14,350,1,7 years
180,2500,2500,11.14%,36 months,major_purchase,10.08%,CA,RENT,4333.33,720-724,4,4922,0,3 years
181,17000,16975,14.33%,36 months,debt_consolidation,26.35%,MN,OWN,7500,700-704,21,39130,3,10+ years
182,16000,16000,7.90%,36 months,credit_card,12.30%,CA,MORTGAGE,8416.67,695-699,14,21913,1,5 years
183,10000,9950,12.69%,36 months,debt_consolidation,3.80%,CA,MORTGAGE,6666.67,695-699,8,7967,1,3 years
184,5000,5000,10.16%,36 months,debt_consolidation,24.50%,AL,MORTGAGE,6250,700-704,9,33705,0,6 years
185,4375,4375,19.05%,36 months,credit_card,9.09%,CA,RENT,2916.67,670-674,9,6944,2,6 years
186,8500,8475,6.03%,36 months,home_improvement,12.33%,MO,MORTGAGE,6100,745-749,17,6370,0,10+ years
187,12000,12000,16.89%,60 months,small_business,15.24%,OH,MORTGAGE,7500,675-679,14,28589,2,3 years
188,6200,6100,8.59%,36 months,other,19.10%,WI,RENT,5000,740-744,17,9367,0,1 year
189,7000,7000,18.49%,36 months,debt_consolidation,18.90%,AR,MORTGAGE,2000,660-664,10,7315,2,1 year
190,20800,20800,12.69%,60 months,debt_consolidation,7.08%,GA,MORTGAGE,6541.67,730-734,9,13197,0,1 year
191,19200,19200,13.11%,60 months,other,3.45%,IL,MORTGAGE,8333.33,745-749,14,50625,3,2 years
192,22000,22000,15.80%,60 months,debt_consolidation,21.32%,KY,MORTGAGE,5416.67,700-704,9,10267,1,10+ years
193,15000,15000,19.05%,36 months,debt_consolidation,24.88%,AZ,RENT,6000,675-679,12,12162,0,1 year
194,7000,6965.1,19.47%,36 months,debt_consolidation,17.08%,NJ,RENT,5000,665-669,11,13859,0,3 years
195,20000,20000,8.90%,36 months,credit_card,17.08%,CO,RENT,4916.67,730-734,10,14952,2,4 years
196,2000,2000,6.17%,36 months,moving,18.35%,WA,RENT,5733.58,745-749,9,21998,0,3 years
197,18000,17738.58,10.59%,60 months,major_purchase,15.03%,OH,MORTGAGE,4000,755-759,9,6718,0,10+ years
198,20800,20775,11.48%,36 months,home_improvement,21.77%,CA,OWN,11666.67,790-794,6,682,1,10+ years
199,9000,8875,7.88%,36 months,debt_consolidation,14.51%,MA,MORTGAGE,5708.33,725-729,9,12217,0,7 years
200,6000,6000,14.09%,36 months,credit_card,22.50%,UT,RENT,2666.67,670-674,18,5955,0,10+ years
201,5000,5000,15.80%,36 months,debt_consolidation,34.20%,CA,RENT,3750,665-669,18,5414,3,3 years
202,12000,11975,14.83%,60 months,credit_card,22.31%,CA,RENT,4186,685-689,9,9398,0,3 years
203,7000,1998,8.00%,36 months,credit_card,6.36%,AZ,MORTGAGE,7583.33,750-754,9,21135,0,10+ years
204,6000,5950,10.00%,36 months,major_purchase,8.74%,FL,MORTGAGE,15416.67,715-719,9,105730,1,10+ years
205,17000,16975,13.98%,36 months,debt_consolidation,17.65%,TX,MORTGAGE,9166.67,700-704,14,16230,4,3 years
206,12000,11975,8.94%,36 months,credit_card,18.99%,TX,RENT,4750,750-754,13,25577,1,4 years
207,16350,16350,7.90%,36 months,credit_card,25.03%,MN,OWN,4541.67,730-734,7,25731,0,9 years
208,20000,20000,7.90%,36 months,debt_consolidation,20.04%,TX,MORTGAGE,4625,755-759,14,31335,1,10+ years
209,12300,12300,12.12%,36 months,debt_consolidation,10.01%,CA,RENT,6583.33,690-694,15,12450,0,1 year
210,4800,4800,13.11%,36 months,moving,4.61%,TX,RENT,2666.67,690-694,3,7911,0,< 1 year
211,14500,14500,7.90%,36 months,credit_card,11.96%,IL,RENT,4500,735-739,8,16398,0,6 years
212,4200,4200,8.90%,36 months,debt_consolidation,10.43%,CA,MORTGAGE,2254,700-704,7,4490,0,n/a
213,22250,22250,14.09%,36 months,credit_card,32.10%,MN,MORTGAGE,6583.33,690-694,18,44868,0,10+ years
214,8000,8000,14.09%,36 months,home_improvement,7.68%,IL,RENT,25000,675-679,6,28579,1,8 years
215,8325,8325,17.77%,36 months,debt_consolidation,20.75%,MO,RENT,2000,665-669,7,7676,0,< 1 year
216,14000,14000,13.11%,36 months,debt_consolidation,8.12%,CA,OWN,10416.67,730-734,4,4776,0,7 years
217,9000,9000,10.16%,36 months,debt_consolidation,3.98%,MD,MORTGAGE,6000,705-709,6,5659,0,7 years
218,16000,16000,13.11%,36 months,credit_card,17.61%,GA,MORTGAGE,6083.33,680-684,13,15148,0,2 years
219,15200,13694.22,11.14%,36 months,credit_card,14.50%,AZ,MORTGAGE,7916.67,760-764,7,217827,2,6 years
220,24000,24000,10.65%,36 months,debt_consolidation,14.80%,CA,RENT,3750,725-729,5,24708,0,10+ years
221,16450,16450,15.31%,36 months,debt_consolidation,11.66%,OH,MORTGAGE,6666.67,685-689,8,12697,3,9 years
222,7500,7500,12.12%,36 months,home_improvement,26.56%,NH,MORTGAGE,5000,710-714,8,9047,1,10+ years
223,4750,4750,22.47%,36 months,debt_consolidation,24.45%,UT,RENT,1333.33,665-669,9,4752,2,< 1 year
224,6500,6500,7.90%,36 months,debt_consolidation,12.56%,AR,RENT,6750,720-724,17,33229,0,8 years
225,5500,5450,18.67%,60 months,debt_consolidation,17.71%,NY,RENT,1750,660-664,6,4492,6,2 years
226,9600,9600,6.03%,36 months,home_improvement,7.52%,AL,MORTGAGE,6250,750-754,7,765,0,< 1 year
227,12000,11975,12.12%,36 months,major_purchase,31.34%,NY,OWN,4166.67,710-714,21,28703,2,3 years
228,2000,2000,7.51%,36 months,other,16.73%,CA,RENT,1500,730-734,5,2925,0,4 years
229,18000,18000,24.89%,60 months,moving,14.88%,VT,RENT,4000,665-669,10,7377,3,8 years
230,5825,5825,12.12%,36 months,home_improvement,4%,AR,OWN,3750,690-694,4,5643,0,1 year
231,2500,2500,15.31%,36 months,home_improvement,22.81%,VA,RENT,2530,670-674,7,5276,6,< 1 year
232,7200,7200,19.91%,60 months,other,2%,NY,RENT,5500,660-664,13,2130,0,9 years
233,8000,8000,14.33%,36 months,other,11.85%,MD,RENT,3941.58,670-674,15,9660,0,2 years
234,25000,24675,20.77%,60 months,home_improvement,19.12%,TX,MORTGAGE,6000,665-669,17,12757,2,10+ years
235,2500,2500,14.09%,36 months,medical,20.95%,NY,RENT,2666.67,665-669,9,15787,0,n/a
236,20000,2050,12.84%,36 months,home_improvement,1.49%,MI,MORTGAGE,3500,750-754,6,1954,5,2 years
237,6250,6250,13.11%,36 months,debt_consolidation,28.61%,CT,RENT,1779.17,720-724,19,7455,1,3 years
238,12375,12375,13.67%,36 months,debt_consolidation,22.42%,KS,MORTGAGE,2083.33,680-684,8,12226,0,3 years
239,18000,18000,10.16%,36 months,debt_consolidation,16.71%,NY,MORTGAGE,6666.67,685-689,16,19850,1,6 years
240,3300,3300,6.99%,36 months,other,20.04%,IL,RENT,3333.33,760-764,10,0,2,1 year
241,21000,21000,18.49%,60 months,other,16.40%,TX,MORTGAGE,8833.33,700-704,11,29293,0,1 year
242,24575,24575,16.29%,36 months,debt_consolidation,19.60%,GA,MORTGAGE,5250,695-699,8,20858,2,10+ years
